Description,,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon
"Lowe's Companies, Inc., together with its subsidiaries, operates as a home improvement retailer in the United States. The company offers a line of products for construction, maintenance, repair, remodeling, and decorating. It also provides home improvement products, such as appliances, seasonal and outdoor living, lawn and garden, lumber, kitchens and bath, tools, paint, millwork, hardware, flooring, rough plumbing, building materials, décor, and electrical. In addition, the company offers installation services through independent contractors in various product categories; and extended protection plans and repair services. It sells its national brand-name merchandise and private brand products to professional customers, homeowners, and renters. The company also sells its products through Lowes.com website; and through mobile applications. Lowe's Companies, Inc. was founded in 1921 and is based in Mooresville, North Carolina.",,Lowe's Cos Inc,LOW US,"1,814,433",246,0.31,1.19,352.58MLN,"47,802.72",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--
"The Travelers Companies, Inc., through its subsidiaries, provides a range of commercial and personal property, and casualty insurance products and services to businesses, government units, associations, and individuals in the United States and internationally. It operates through three segments: Business Insurance, Bond & Specialty Insurance, and Personal Insurance. The Business Insurance segment offers workers' compensation, commercial automobile and property, general liability, commercial multi-peril, employers' liability, public and product liability, professional indemnity, marine, aviation, onshore and offshore energy, construction, terrorism, personal accident, and kidnap and ransom insurance products. This segment operates through select accounts, which serve small businesses; commercial accounts that serve mid-sized businesses; national accounts, which serve large companies; and national property and other that serve large and mid-sized customers, commercial trucking industry, and agricultural businesses, as well as markets and distributes its products through brokers, wholesale agents, and program managers. The Bond & Specialty Insurance segment provides surety, fidelity, management and professional liability, and other property and casualty coverages and related risk management services through independent agencies and brokers. The Personal Insurance segment offers property and casualty insurance covering personal risks, primarily automobile and homeowners' insurance to individuals through independent agencies and brokers. The Travelers Companies, Inc. was founded in 1853 and is based in New York, New York.",,Travelers Cos Inc/The,TRV US,"2,066,393",279,0.9,1.18,349.12MLN,"47,137.05",11/2/2023,United States,Financials,Insurance,Equity,Common Stock,Common Stock,--,--,--
"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and sells biopharmaceutical products worldwide. It offers products for hematology, oncology, cardiovascular, immunology, fibrotic, and neuroscience diseases. The company's products include Eliquis, an oral inhibitor for reduction in risk of stroke/systemic embolism in NVAF, and for the treatment of DVT/PE; Opdivo for anti-cancer indications; Pomalyst/Imnovid indicated for patients with multiple myeloma; Orencia for adult patients with active RA and psoriatic arthritis; and Sprycel for the treatment of Philadelphia chromosome-positive chronic myeloid leukemia. It also provides Yervoy for the treatment of patients with unresectable or metastatic melanoma; Empliciti for the treatment of multiple myeloma; Abecma for the treatment of relapsed or refractory multiple myeloma; Reblozyl for the treatment of anemia in adult patients with beta thalassemia; Opdualag for the treatment of unresectable or metastatic melanoma; and Zeposia to treat relapsing forms of multiple sclerosis. In addition, the company offers Breyanzi, a CD19-directed genetically modified autologous T cell immunotherapy for the treatment of adult patients with relapsed or refractory large B-cell lymphoma; Onureg for the treatment of adult patients with AML; Inrebic, an oral kinase inhibitor indicated for the treatment of myelofibrosis; Camzyos for the treatment of adults with symptomatic obstructive HCM to enhance functional capacity and symptoms; Sotyktu for the treatment of adults with moderate-to-severe plaque psoriasis; Revlimid, an oral immunomodulatory drug for the treatment of multiple myeloma; and Abraxane, a protein-bound chemotherapy product. It sells products to wholesalers, distributors, pharmacies, retailers, hospitals, clinics, and government agencies. The company was formerly known as Bristol-Myers Company. The company was founded in 1887 and is headquartered in New York, New York",,Bristol-Myers Squibb Co,BMY US,"6,613,130",897,0.33,1.14,338.13MLN,"45,863.61",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"NXP Semiconductors N.V. offers various semiconductor products. The company's product portfolio includes microcontrollers; application processors, including i.MX application processors, and i.MX 8 and 9 family of applications processors; communication processors; wireless connectivity solutions, such as near field communications, ultra-wideband, Bluetooth low-energy, Zigbee, and Wi-Fi and Wi-Fi/Bluetooth integrated SoCs; analog and interface devices; radio frequency power amplifiers; and security controllers, as well as semiconductor-based environmental and inertial sensors, including pressure, inertial, magnetic, and gyroscopic sensors. The company's products are used in various applications, including automotive, industrial and Internet of Things, mobile, and communication infrastructure. The company markets its products to various original equipment manufacturers, contract manufacturers, and distributors. It operates in China, the Netherlands, the United States, Singapore, Germany, Japan, South Korea, Taiwan, and internationally. The company was formerly known as KASLION Acquisition B.V and changed its name to NXP Semiconductors N.V. in May 2010. NXP Semiconductors N.V. was incorporated in 2006 and is headquartered in Eindhoven, the Netherlands",,NXP Semiconductors NV,NXPI US,"1,891,065",255,0.73,1.13,335.83MLN,"45,285.45",11/2/2023,Netherlands,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--
"Chipotle Mexican Grill, Inc., together with its subsidiaries, owns and operates Chipotle Mexican Grill restaurants. It offers burritos, burrito bowls, quesadillas, tacos, and salads. The company was founded in 1993 and is headquartered in Newport Beach, California",,Chipotle Mexican Grill Inc,CMG US,"164,079",21,0.6,1.13,333.96MLN,"42,742.77",11/2/2023,United States,Consumer Discretionary,Consumer Discretionary Services,Equity,Common Stock,Common Stock,--,--,--
"Texas Instruments Incorporated designs, manufactures, and sells semiconductors to electronics designers and manufacturers in the United States and internationally. It operates in two segments, Analog and Embedded Processing. The Analog segment offers power products to manage power requirements across various voltage levels, including battery-management solutions, DC/DC switching regulators, AC/DC and isolated controllers and converters, power switches, linear regulators, voltage references, and lighting products. This segment also provides signal chain products that sense, condition, and measure signals to allow information to be transferred or converted for further processing and control, including amplifiers, data converters, interface products, motor drives, clocks, and logic and sensing products. The Embedded Processing segment offers microcontrollers that are used in electronic equipment; digital signal processors for mathematical computations; and applications processors for specific computing activity. This segment offers products for use in various markets, such as industrial, automotive, personal electronics, communications equipment, enterprise systems, and calculators and other. The company also provides DLP products primarily for use in project high-definition images; calculators; and application-specific integrated circuits. It markets and sells its semiconductor products through direct sales and distributors, as well as through its website. Texas Instruments Incorporated was founded in 1930 and is headquartered in Dallas, Texas.",,Texas Instruments Inc,TXN US,"2,231,327",303,0.25,1.11,328.70MLN,"44,634.93",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--
"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",,United Parcel Service Inc Class B Common Stock,UPS US,"2,223,867",300,0.31,1.07,315.77MLN,"42,597",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--
"United Parcel Service, Inc., a package delivery company, provides transportation and delivery, distribution, contract logistics, ocean freight, airfreight, customs brokerage, and insurance services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery of letters, documents, small packages, and palletized freight through air and ground services in the United States. The International Package segment provides guaranteed day and time-definite international shipping services comprising guaranteed time-definite express options in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The company also provides international air and ocean freight forwarding, post-sales, and mail and consulting services. In addition, it offers truckload brokerage services; supply chain solutions to the healthcare and life sciences industries; financial and information services; and fulfillment and transportation management services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia.",,Colgate-Palmolive Co,CL US,"4,203,784",570,0.51,1.06,314.44MLN,"42,636",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and high-end consumer markets; and power ICs that include performance, integration, and software design simulation tools for accurate power supply designs. It also offers high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and micro-electro-mechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company provides digital signal processing and system products for high-speed numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",,Analog Devices Inc,ADI US,"1,769,612",240,0.36,0.98,290.82MLN,"39,441.60",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--
"Regeneron Pharmaceuticals, Inc. discovers, invents, develops, manufactures, and commercializes medicines for treating various diseases worldwide. The company's products include EYLEA injection to treat neovascular age-related macular degeneration and diabetic macular edema; myopic choroidal neovascularization; diabetic retinopathy; neovascular glaucoma; and retinopathy of prematurity. It also provides Dupixent injection to treat atopic dermatitis and asthma in adults and pediatrics; Libtayo injection to treat metastatic or locally advanced cutaneous squamous cell carcinoma; Praluent injection for heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease in adults; REGEN-COV for covid-19; and Kevzara solution for treating rheumatoid arthritis in adults. In addition, the company offers Inmazeb injection for infection caused by Zaire ebolavirus; ARCALYST injection for cryopyrin-associated periodic syndromes, including familial cold auto-inflammatory syndrome and muckle-wells syndrome; and ZALTRAP injection for intravenous infusion to treat metastatic colorectal cancer; and develops product candidates for treating patients with eye, allergic and inflammatory, cardiovascular and metabolic, infectious, and rare diseases; and cancer, pain, and hematologic conditions. It has collaboration and license agreements with Sanofi; Bayer; Teva Pharmaceutical Industries Ltd.; Mitsubishi Tanabe Pharma Corporation; Alnylam Pharmaceuticals, Inc.; Roche Pharmaceuticals; and Kiniksa Pharmaceuticals, Ltd., as well as has an agreement with the U.S. Department of Health and Human Services, as well as with Zai Lab Limited; Intellia Therapeutics, Inc.; Biomedical Advanced Research Development Authority; and AstraZeneca PLC. The company was incorporated in 1988 and is headquartered in Tarrytown, New York.",,Regeneron Pharmaceuticals Inc Common Stock,REGN US,"354,669",48,0.33,0.98,290.40MLN,"39,301.92",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--
"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids in the United States and internationally. The company's portfolio includes unconventional plays in North America; conventional assets in North America, Europe, Asia, and Australia; various LNG developments; oil sands assets in Canada; and an inventory of global exploration prospects. ConocoPhillips was founded in 1917 and is headquartered in Houston, Texas",,ConocoPhillips,COP US,"2,379,385",321,0.2,0.98,290.33MLN,"39,168.42",11/2/2023,United States,Energy,Oil & Gas,Equity,Common Stock,Common Stock,--,--,--
"The Procter & Gamble Company provides branded consumer packaged goods worldwide. It operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments under the Head & Shoulders, Herbal Essences, Pantene, and Rejoice brands; and antiperspirants and deodorants, personal cleansing, and skin care products under the Olay, Old Spice, Safeguard, Secret, and SK-II brands. The Grooming segment provides shave care products and appliances under the Braun, Gillette, and Venus brand names. The Health Care segment offers toothbrushes, toothpastes, and other oral care products under the Crest and Oral-B brand names; and gastrointestinal, rapid diagnostics, respiratory, vitamins/minerals/supplements, pain relief, and other personal health care products under the Metamucil, Neurobion, Pepto-Bismol, and Vicks brands. The Fabric & Home Care segment provides fabric enhancers, laundry additives, and laundry detergents under the Ariel, Downy, Gain, and Tide brands; and air care, dish care, P&G professional, and surface care products under the Cascade, Dawn, Fairy, Febreze, Mr. Clean, and Swiffer brands. The Baby, Feminine & Family Care segment offers baby wipes, taped diapers, and pants under the Luvs and Pampers brands; adult incontinence and feminine care products under the Always, Always Discreet, and Tampax brands; and paper towels, tissues, and toilet papers under the Bounty, Charmin, and Puffs brands. The company sells its products primarily through mass merchandisers, e-commerce, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, specialty beauty stores, high-frequency stores, pharmacies, electronics stores, and professional channels, as well as directly to consumers. The Procter & Gamble Company was founded in 1837 and is headquartered in Cincinnati, Ohio",,Procter & Gamble Co/The,PG US,"1,773,466",240,0.08,0.91,268.57MLN,"36,345.60",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",,SBA Communications Corp,SBAC US,"1,214,748",165,1.12,0.89,264.09MLN,"35,871",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--
"Walmart Inc. engages in the operation of retail, wholesale, and other units worldwide. The company operates through three segments: Walmart U.S., Walmart International, and Sam's Club. It operates supercenters, supermarkets, hypermarkets, warehouse clubs, cash and carry stores, and discount stores under Walmart and Walmart Neighborhood Market brands; membership-only warehouse clubs; ecommerce websites, such as walmart.com, walmart.com.mx, walmart.ca, flipkart.com, and samsclub.com; and mobile commerce applications. The company offers grocery and consumables, including dry grocery, snacks, dairy, meat, produce, bakery and deli, alcoholic and nonalcoholic beverages, floral, candy, and other grocery items, as well as dry, chilled, or frozen packaged foods; and health and beauty aids, paper goods, laundry and home care, baby care, pet supplies, and other consumable items. It is also involved in the operation of gasoline stations; provision of tobacco; and health and wellness products covering pharmacy, optical and hearing services, and over-the-counter drugs and other medical products. In addition, the company offers home improvement, outdoor living, gardening, furniture, apparel, jewelry, tools and power equipment, housewares, toys, seasonal items, mattresses, and tire and battery centers; and consumer electronics and accessories, software, video games, office supplies, appliances, and third-party gift cards. Further, it operates digital payment platforms; and offers financial services and related products, including money transfers, bill payments, money orders, check cashing, prepaid access, co-branded credit cards, installment lending, and earned wage access. The company was formerly known as Wal-Mart Stores, Inc. and changed its name to Walmart Inc. in February 2018. Walmart Inc. was founded in 1945 and is based in Bentonville, Arkansas.",,Walmart Inc,WMT US,"1,586,449",216,0.06,0.89,262.59MLN,"35,752.32",11/2/2023,United States,Consumer Staples,Retail & Wholesale - Staples,Equity,Common Stock,Common Stock,--,--,--
"Equinix (Nasdaq: EQIX) is the world's digital infrastructure company. Digital leaders harness Equinix's trusted platform to bring together and interconnect foundational infrastructure at software speed. Equinix enables organizations to access all the right places, partners and possibilities to scale with agility, speed the launch of digital services, deliver world-class experiences and multiply their value, while supporting their sustainability goals.",,Equinix Inc,EQIX US,"341,954",45,0.36,0.88,260.98MLN,"34,343.55",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--
"Old Dominion Freight Line, Inc. operates as a less-than-truckload (LTL) motor carrier in the United States and North America. It provides regional, inter-regional, and national LTL services, including expedited transportation. The company also offers various value-added services, such as container drayage, truckload brokerage, and supply chain consulting. As of December 31, 2022, it owned and operated 11,274 tractors, 31,252 linehaul trailers, and 14,315 pickup and delivery trailers; 44 fleet maintenance centers; and 255 service centers. Old Dominion Freight Line, Inc. was founded in 1934 and is headquartered in Thomasville, North Carolina.",,Old Dominion Freight Line Inc,ODFL US,"670,091",90,0.61,0.88,260.55MLN,"34,994.70",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--
"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally. It operates through four segments: Financial Services; Health Sciences; Products and Resources; and Communications, Media and Technology. The company offers customer experience enhancement, robotic process automation, analytics, and AI services in areas, such as digital lending, fraud detection, and next generation payments; the shift towards consumerism, outcome-based contracting, digital health, delivering integrated seamless, omni-channel, and patient-centered experience; and services that drive operational improvements in areas, such as clinical development, pharmacovigilance, and manufacturing, as well as claims processing, enrollment, membership, and billing to healthcare providers and payers, and life sciences companies, including pharmaceutical, biotech, and medical device companies. It also provides solution to manufacturers, automakers, retailers and travel and hospitality companies, as well as companies providing logistics, energy and utility services; and digital content, the creation of personalized user experience, and acceleration of digital engineering services to communications, media and entertainment, education, and information services and technology companies. The company has a strategic partnership with ServiceNow, Inc. to accelerate adoption of AI-driven automation across industries. The company was founded in 1994 and is headquartered in Teaneck, New Jersey.",,Cognizant Technology Solutions Corp,CTSH US,"3,914,780",531,0.78,0.84,249.18MLN,"33,798.15",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--
"Prologis, Inc. is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At September 30, 2023, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.2 billion square feet (114 million square meters) in 19 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,700 customers principally across two major categories: business-to-business and retail/online fulfillment",,Prologis Inc,PLD US,"2,336,111",315,0.25,0.83,244.64MLN,"32,986.80",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--
"NextEra Energy, Inc., through its subsidiaries, generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America. The company generates electricity through wind, solar, nuclear, coal, and natural gas facilities. It also develops, constructs, and operates long-term contracted assets that consists of clean energy solutions, such as renewable generation facilities, battery storage projects, and electric transmission facilities; sells energy commodities; and owns, develops, constructs, manages and operates electric generation facilities in wholesale energy markets. As of December 31, 2022, the company had approximately 32,100 megawatts of net generating capacity; approximately 88,000 circuit miles of transmission and distribution lines; and 871 substations. It serves approximately 12 million people through approximately 5.8 million customer accounts in the east and lower west coasts of Florida. The company was formerly known as FPL Group, Inc. and changed its name to NextEra Energy, Inc. in 2010. NextEra Energy, Inc. was founded in 1925 and is headquartered in Juno Beach, Florida.",,NextEra Energy Inc,NEE US,"4,062,635",549,0.2,0.82,243.39MLN,"32,890.59",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--
"The Hershey Company, together with its subsidiaries, engages in the manufacture and sale of confectionery products and pantry items in the United States and internationally. The company operates through three segments: North America Confectionery, North America Salty Snacks, and International. It offers chocolate and non-chocolate confectionery products; gum and mint refreshment products, including mints, chewing gums, and bubble gums; pantry items, such as baking ingredients, toppings, beverages, and sundae syrups; and snack items comprising spreads, bars, snack bites, mixes, popcorn, and pretzels. The company provides its products primarily under the Hershey's, Reese's, Kisses, Jolly Rancher, Almond Joy, Brookside, barkTHINS, Cadbury, Good & Plenty, Heath, Kit Kat, Payday, Rolo, Twizzlers, Whoppers, York, Ice Breakers, Breath Savers, Bubble Yum, Lily's, SkinnyPop, Pirates Booty, Paqui, Dot's Homestyle Pretzels, and ONE Bar brands, as well as under the Pelon Pelo Rico, IO-IO, and Sofit brands. It markets and sells its products to wholesale distributors, chain grocery stores, mass merchandisers, chain drug stores, vending companies, wholesale clubs, convenience stores, dollar stores, concessionaires, and department stores. The company was founded in 1894 and is headquartered in Hershey, Pennsylvania.",,Hershey Co/The Common Stock,HSY US,"1,260,220",171,0.84,0.81,238.87MLN,"32,413.05",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"Exxon Mobil Corporation engages in the exploration and production of crude oil and natural gas in the United States and internationally. It operates through Upstream, Energy Products, Chemical Products, and Specialty Products segments. The Upstream segment explores for and produces crude oil and natural gas. The Energy Products segment offers fuels, aromatics, and catalysts, as well as licensing services. The Chemical Products segment manufactures and markets petrochemicals including olefins, polyolefins, and intermediates. The Specialty Products segment offers performance products, including lubricants, basestocks, waxes, synthetics, elastomers, and resins. The company is involved in the manufacturing, trade, transport, and sale of crude oil, natural gas, petroleum products, petrochemicals, and other specialty products; and pursuit lower-emission business opportunities including carbon capture and storage, hydrogen, and lower-emission fuels. Exxon Mobil Corporation was founded in 1870 and is headquartered in Spring, Texas.",,Exxon Mobil Corp,XOM US,"2,041,167",276,0.05,0.75,222.71MLN,"30,114.36",11/2/2023,United States,Energy,Oil & Gas,Equity,Common Stock,Common Stock,--,--,--
"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, and natural gas and natural gas liquids. Its principal producing areas are in New Mexico and Texas in the United States; and the Republic of Trinidad and Tobago. The company was formerly known as Enron Oil & Gas Company. EOG Resources, Inc. was incorporated in 1985 and is headquartered in Houston, Texas",,EOG Resources Inc,EOG US,"1,698,820",231,0.29,0.74,218.55MLN,"29,718.15",11/2/2023,United States,Energy,Oil & Gas,Equity,Common Stock,Common Stock,--,--,--
"Otis Worldwide Corporation engages in the manufacturing, installation, and servicing of elevators and escalators in the United States, China, and internationally. The company operates in two segments, New Equipment and Service. The New Equipment segment designs, manufactures, sells, and installs a range of passenger and freight elevators, as well as escalators and moving walkways for residential and commercial buildings, and infrastructure projects. This segment serves real-estate and building developers, and general contractors. The Service segment performs maintenance and repair services, as well as modernization services to upgrade elevators and escalators. Otis Worldwide Corporation was founded in 1853 and is headquartered in Farmington, Connecticut.",,Otis Worldwide Corp,OTIS US,"2,768,310",375,0.68,0.73,217.73MLN,"29,493.75",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--
"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide. The company's Engineered Products segment provides various equipment, component, software, solution, and services that are used in aftermarket vehicle service, solid waste handling, industrial automation, aerospace and defense, industrial winch and hoist, and fluid dispensing end-market. This segment also offers manual and power clamp, rotary and linear mechanical indexer, conveyor, pick and place unit, glove port, and manipulator, as well as end-of-arm robotic gripper, slide, and end effector. Its Clean Energy & Fueling segment offers component, equipment, and software and service solution enabling safe transport of traditional and clean fuel, and other hazardous substance along with supply chain, as well as operation of convenience retail, retail fueling, and vehicle wash establishment. The company's Imaging & Identification segment provides precision marking and coding; packaging intelligence; product traceability equipment; brand protection; and digital textile printing equipment, as well as related consumable, software, and service to packaged and consumer good, pharmaceutical, industrial manufacturing, fashion and apparel, and other end-market. Its Pumps & Process Solutions segment manufactures specialty pump, connector, and flow meter, fluid connecting solution, plastics and polymer processing equipment, and engineered components for rotating and reciprocating machines. The company's Climate & Sustainability Technologies segment manufactures refrigeration system, refrigeration display case, commercial glass refrigerator and freezer door, and brazed plate heat exchanger for industrial heating and cooling, and residential climate control applications. It sells its products directly and through a network of distributors. The company was incorporated in 1947 and is headquartered in Downers Grove, Illinois.",,Dover Corp,DOV US,"1,619,364",219,1.16,0.73,215.80MLN,"29,183.94",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--
"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care and consumer tissue products worldwide. It operates through three segments: Personal Care, Consumer Tissue, and K-C Professional. The company's Personal Care segment offers disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, reusable underwear, and other related products under the Huggies, Pull-Ups, Little Swimmers, GoodNites, DryNites, Sweety, Kotex, U by Kotex, Intimus, Thinx, Poise, Depend, Plenitud, Softex, and other brand names. Its Consumer Tissue segment provides facial and bathroom tissues, paper towels, napkins, and related products under the Kleenex, Scott, Cottonelle, Viva, Andrex, Scottex, Neve, and other brand names. The company's K-C Professional segment offers wipers, tissues, towels, apparel, soaps, and sanitizers under the Kleenex, Scott, WypAll, Kimtech, and KleenGuard brands. In addition, it sells household use products directly to supermarkets, mass merchandisers, drugstores, warehouse clubs, variety and department stores, and other retail outlets, as well as through other distributors and e-commerce; and away-from-home use products directly to manufacturing, lodging, office building, food service, and public facilities, as well as through e-commerce. The company was founded in 1872 and is headquartered in Dallas, Texas.",,Kimberly-Clark Corp,KMB US,"1,746,348",237,0.52,0.71,211.40MLN,"28,688.85",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--
"Berkshire Hathaway Inc., through its subsidiaries, engages in the insurance, freight rail transportation, and utility businesses worldwide. It provides property, casualty, life, accident, and health insurance and reinsurance; and operates railroad systems in North America. The company also generates, transmits, stores, and distributes electricity from natural gas, coal, wind, solar, hydroelectric, nuclear, and geothermal sources; operates natural gas distribution and storage facilities, interstate pipelines, liquefied natural gas facilities, and compressor and meter stations; and holds interest in coal mining assets. In addition, the company manufactures boxed chocolates and other confectionery products; specialty chemicals, metal cutting tools, and components for aerospace and power generation applications; flooring products; insulation, roofing, and engineered products; building and engineered components; paints and coatings; and bricks and masonry products, as well as offers manufactured and site-built home construction, and related lending and financial services. Further, it provides recreational vehicles, apparel and footwear products, jewelry, and custom picture framing products, as well as alkaline batteries; castings, forgings, fasteners/fastener systems, aerostructures, and precision components; and cobalt, nickel, and titanium alloys. Additionally, the company distributes televisions and information; franchises and services quick service restaurants; distributes electronic components; and offers logistics services, grocery and foodservice distribution services, and professional aviation training and shared aircraft ownership programs. It also retails automobiles; furniture, bedding, and accessories; household appliances, electronics, and computers; jewelry, watches, crystal, china, stemware, flatware, gifts, and collectibles; kitchenware; and motorcycle clothing and equipment. The company was incorporated in 1998 and is headquartered in Omaha, Nebraska.",,Berkshire Hathaway Inc CLASS B,BRK/B US,"601,973",81,0.05,0.71,210.10MLN,"28,270.62",11/2/2023,United States,Financials,Insurance,Equity,Common Stock,Common Stock,--,--,--
"FLEETCOR Technologies, Inc., a business payments company that helps businesses spend less by enabling them to manage their expense-related purchasing and vendor payments processes. It offers corporate payments solutions, such as accounts payable automation; Virtual Card, which provides a single-use card number for a specific amount usable within a defined timeframe; Cross-Border that is used by its customers to pay international vendors, foreign office and personnel expenses, capital expenditures, and profit repatriation and dividends; and purchasing cards and travel and entertainment cards for its customers to analyze and manage their corporate spending. The company also provides vehicle and mobility solutions, including fuel solutions to businesses and government entities that operate vehicle fleets, as well as to oil and leasing companies, and fuel marketers; lodging solutions to businesses that have employees who travel overnight for work purposes, as well as to airlines and cruise lines to accommodate traveling crews and stranded passengers; and electronic toll payments solutions to businesses and consumers in the form of radio frequency identification tags affixed to vehicles' windshields. In addition, it offers gift card program management and processing services in plastic and digital forms that include card design, production and packaging, delivery and fulfillment, card and account management, transaction processing, promotion development and management, website design and hosting, program analytics, and card distribution channel management. Further, the company provides other products consisting of payroll cards, vehicle maintenance service solution, long-haul transportation solution, prepaid food vouchers or cards, and prepaid transportation cards and vouchers. It serves business, merchant, consumer, and payment network customers in North America, Brazil, and Internationally. The company was founded in 1986 and is headquartered in Atlanta, Georgia.",,FleetCor Technologies Inc,FLT US,"873,169",117,1.18,0.7,206.64MLN,"27,689.22",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--
