Description,Unnamed: 1,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon,Cosine Similarity
"Dover Corporation provides equipment components , consumable supplies , aftermarket parts , software digital solutions , support services worldwide . company 's Engineered Products segment provides various equipment , component , software , solution , services used aftermarket vehicle service , solid waste handling , industrial automation , aerospace defense , industrial winch hoist , fluid dispensing end-market . segment also offers manual power clamp , rotary linear mechanical indexer , conveyor , pick place unit , glove port , manipulator , well end-of-arm robotic gripper , slide , end effector . Clean Energy & Fueling segment offers component , equipment , software service solution enabling safe transport traditional clean fuel , hazardous substance along supply chain , well operation convenience retail , retail fueling , vehicle wash establishment . company 's Imaging & Identification segment provides precision marking coding ; packaging intelligence ; product traceability equipment ; brand protection ; digital textile printing equipment , well related consumable , software , service packaged consumer good , pharmaceutical , industrial manufacturing , fashion apparel , end-market . Pumps & Process Solutions segment manufactures specialty pump , connector , flow meter , fluid connecting solution , plastics polymer processing equipment , engineered components rotating reciprocating machines . company 's Climate & Sustainability Technologies segment manufactures refrigeration system , refrigeration display case , commercial glass refrigerator freezer door , brazed plate heat exchanger industrial heating cooling , residential climate control applications . sells products directly network distributors . company incorporated 1947 headquartered Downers Grove , Illinois .",,Dover Corp,DOV US,"1,619,364",219,1.16,0.73,215.80MLN,"29,183.94",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.2208811640739441
"Mondelez International , Inc. , subsidiaries , manufactures , markets , sells snack food beverage products Latin America , North America , Asia , Middle East , Africa , Europe . provides biscuits baked snacks , including cookies , crackers , salted snacks , snack bars , cakes pastries ; chocolates ; gums candies , well various cheese grocery , powdered beverage products . company 's brand portfolio includes Oreo , Ritz , LU , CLIF Bar , Tate 's Bake Shop biscuits baked snacks , well Cadbury Dairy Milk , Milka , Toblerone chocolate . serves supermarket chains , wholesalers , supercenters , club stores , mass merchandisers , distributors , convenience stores , gasoline stations , drug stores , value stores , retail food outlets direct store delivery , company-owned satellite warehouses , third party distributors , facilities , well independent sales offices agents . company formerly known Kraft Foods Inc. changed name Mondelez International , Inc. October 2012 . Mondelez International , Inc. incorporated 2000 headquartered Chicago , Illinois .",,Mondelez International Inc,MDLZ US,"5,790,224",783,0.43,1.33,393.56MLN,"53,220.51",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.2164541482925415
"Johnson & Johnson , together subsidiaries , researches , develops , manufactures , sells various products healthcare field worldwide . company 's Consumer Health segment provides skin health/beauty products AVEENO , CLEAN & CLEAR , DR. CI : LABO , NEUTROGENA , OGX brands ; baby care products JOHNSON 'S AVEENO Baby brands ; oral care products LISTERINE brand ; TYLENOL acetaminophen products ; SUDAFED cold , flu , allergy products ; BENADRYL ZYRTEC allergy products ; MOTRIN IB ibuprofen products ; NICORETTE smoking cessation products ; PEPCID acid reflux products . segment also offers STAYFREE CAREFREE sanitary pads ; o.b . tampons ; adhesive bandages BAND-AID brand ; first aid products NEOSPORIN brand . serves general public , retail outlets , distributors . company 's Pharmaceutical segment provides products rheumatoid arthritis , psoriatic arthritis , inflammatory bowel disease , psoriasis ; HIV/AIDS infectious diseases ; mood disorders , neurodegenerative disorders , schizophrenia ; prostate cancer , hematologic malignancies , lung cancer , bladder cancer ; thrombosis , diabetes , macular degeneration ; pulmonary arterial hypertension . segment serves retailers , wholesalers , distributors , hospitals , healthcare professionals directly prescription use . MedTech segment offers electrophysiology products treat cardiovascular diseases ; neurovascular care products treat hemorrhagic ischemic stroke ; orthopaedics products support hips , knees , trauma , spine , sports , ; advanced general surgery solutions focus breast aesthetics , ear , nose , throat procedures ; contact lenses ophthalmic technologies related cataract laser refractive surgery ACUVUE brand . segment serves wholesalers , hospitals , retailers . Johnson & Johnson founded 1886 based New Brunswick , New Jersey .",,Johnson & Johnson,JNJ US,"870,595",117,0.04,0.44,130.80MLN,"17,578.08",11/2/2023,United States,Health Care,Health Care,Equity,Common Stock,Common Stock,--,--,--,0.21157769858837128
"Yum ! Brands , Inc. , together subsidiaries , develops , operates , franchises quick service restaurants worldwide . company operates four segments : KFC Division , Taco Bell Division , Pizza Hut Division , Habit Burger Grill Division . operates restaurants KFC , Pizza Hut , Taco Bell , Habit Burger Grill brands , specialize chicken , pizza , made-to-order chargrilled burgers , sandwiches , Mexican-style food categories , food products . company formerly known TRICON Global Restaurants , Inc. changed name Yum ! Brands , Inc. May 2002 . Yum ! Brands , Inc. incorporated 1997 headquartered Louisville , Kentucky .",,Yum! Brands Inc,YUM US,"3,229,508",438,1.15,1.35,401.33MLN,"54,430.26",11/2/2023,United States,Consumer Discretionary,Consumer Discretionary Services,Equity,Common Stock,Common Stock,--,--,--,0.20848990976810455
"Kenvue Inc. operates consumer health company worldwide . company operates three segments : Self Care , Skin Health Beauty , Essential Health . Self Care segment offers cough , cold allergy , pain care , digestive health , smoking cessation , products Tylenol , Nicorette , Zyrtec brands . Skin Health Beauty segment provides face body care , hair care , sun care products Neutrogena , Aveeno , OGX brand names . Essential Health segment offers oral baby , women 's health , wound care products Listerine , Johnson 's , Band-Aid , Stayfree brands . company incorporated 2022 headquartered Skillman , New Jersey .",,Kenvue Inc,KVUE US,"2,461,863",333,0.13,0.16,47.34MLN,"6,403.59",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.20786389708518982
"Costco Wholesale Corporation , together subsidiaries , engages operation membership warehouses United States , Puerto Rico , Canada , Mexico , Japan , United Kingdom , Korea , Australia , Taiwan , China , Spain , France , Iceland , New Zealand , Sweden . company offers branded private-label products range merchandise categories . offers merchandise , sundries , dry groceries , candies , coolers , freezers , deli , liquor , tobacco ; appliances , electronics , health beauty aids , hardware , garden patio products , sporting goods , tires , toys seasonal products , office supplies , automotive care products , postages , tickets , apparel , small appliances , furniture , domestics , housewares , special order kiosks , jewelry ; meat , produce , service deli , bakery products . company also operates gasoline , pharmacies , optical , food courts , hearing-aid centers , tire installation centers ; offers business delivery , travel , grocery , various services online . also operates e-commerce websites . company formerly known Costco Companies , Inc. changed name Costco Wholesale Corporation August 1999 . Costco Wholesale Corporation founded 1976 based Issaquah , Washington",,Costco Wholesale Corp,COST US,"664,635",90,0.15,1.25,369.52MLN,"50,037.30",11/2/2023,United States,Consumer Staples,Retail & Wholesale - Staples,Equity,Common Stock,Common Stock,--,--,--,0.20772752165794373
"PG & E Corporation , subsidiary , Pacific Gas Electric Company , engages sale delivery electricity natural gas customers northern central California , United States . generates electricity using nuclear , hydroelectric , fossil fuel-fired , fuel cell , photovoltaic sources . company owns operates interconnected transmission lines ; electric transmission substations , distribution lines , transmission switching substations , distribution substations ; natural gas transmission , storage , distribution system consisting distribution pipelines , backbone local transmission pipelines , various storage facilities . serves residential , commercial , industrial , agricultural customers , well natural gas-fired electric generation facilities . company incorporated 1905 based Oakland , California .",,PG&E Corp,PCG US,"5,036,721",0,0.24,0.28,84.42MLN,0,11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.20751729607582092
"Lowe 's Companies , Inc. , together subsidiaries , operates home improvement retailer United States . company offers line products construction , maintenance , repair , remodeling , decorating . also provides home improvement products , appliances , seasonal outdoor living , lawn garden , lumber , kitchens bath , tools , paint , millwork , hardware , flooring , rough plumbing , building materials , décor , electrical . addition , company offers installation services independent contractors various product categories ; extended protection plans repair services . sells national brand-name merchandise private brand products professional customers , homeowners , renters . company also sells products Lowes.com website ; mobile applications . Lowe 's Companies , Inc. founded 1921 based Mooresville , North Carolina .",,Lowe's Cos Inc,LOW US,"1,814,433",246,0.31,1.19,352.58MLN,"47,802.72",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--,0.20617061853408813
"Xcel Energy Inc. , subsidiaries , generates , purchases , transmits , distributes , sells electricity . operates Regulated Electric Utility , Regulated Natural Gas Utility , segments . company generates electricity coal , nuclear , natural gas , hydroelectric , solar , biomass , oil , wood/refuse , wind energy sources . also purchases , transports , distributes , sells natural gas retail customers , well transports customer-owned natural gas . addition , company develops leases natural gas pipelines , storage compression facilities ; invests rental housing projects , well procures equipment construction renewable generation facilities . serves residential , commercial , industrial customers portions Colorado , Michigan , Minnesota , New Mexico , North Dakota , South Dakota , Texas , Wisconsin . company incorporated 1909 headquartered Minneapolis , Minnesota .",,Xcel Energy Inc,XEL US,"927,189",126,0.17,0.19,56.62MLN,"7,694.82",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.20604375004768372
"Philip Morris International Inc. operates tobacco company working delivers smoke-free future evolving portfolio long-term include products outside tobacco nicotine sector . company 's product portfolio primarily consists cigarettes smoke-free products , including heat-not-burn , vapor , oral nicotine products primarily IQOS ZYN brands ; consumer accessories , lighters matches . also offers wellness healthcare products . Philip Morris International Inc. incorporated 1987 headquartered Stamford , Connecticut .",,Philip Morris International Inc,PM US,"829,322",111,0.05,0.25,75.42MLN,"10,094.34",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.20425945520401
"Trane Technologies plc , together subsidiaries , designs , manufactures , sells , services solutions heating , ventilation , air conditioning , custom , custom transport refrigeration Ireland internationally . offers air conditioners , exchangers , handlers ; airside terminal devices ; air sourced heat pumps , auxiliary power units ; chillers ; coils condensers ; gensets ; dehumidifiers ; ductless ; furnaces ; home automation products ; humidifiers ; indoor air quality assessments related products ; large light commercial unitary products ; refrigerant reclamation products ; thermostats/controls ; transport heater products ; variable refrigerant flow products ; water source heat pumps . company also provides building management , telematic , control , energy efficiency infrastructure program , geothermal , thermal energy , thermostats , rate chambers , package heating cooling , temporary heating cooling , unitary systems ; bus , rail , multi-pipe heating , ventilation , air conditioning systems ; container , diesel-powered , truck , industrial , rail , self-powered truck , trailer , vehicle-powered truck refrigeration air filtration systems , well aftermarket OEM parts supplies . addition , offers energy facility management , installation performance contracting , repair maintenance , rental services . markets sells products Trane Thermo King brands sales offices , distributors , dealers ; sales service companies supporting chain distributors . company formerly known Ingersoll-Rand Plc changed name Trane Technologies plc March 2020 . Trane Technologies plc founded 1885 headquartered Swords , Ireland",,Trane Technologies PLC,TT US,"2,104,081",285,0.92,1.51,448.40MLN,"60,736.35",11/2/2023,Ireland,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.20365804433822632
"ConocoPhillips explores , produces , transports , markets crude oil , bitumen , natural gas , liquefied natural gas ( LNG ) , natural gas liquids United States internationally . company 's portfolio includes unconventional plays North America ; conventional assets North America , Europe , Asia , Australia ; various LNG developments ; oil sands assets Canada ; inventory global exploration prospects . ConocoPhillips founded 1917 headquartered Houston , Texas",,ConocoPhillips,COP US,"2,379,385",321,0.2,0.98,290.33MLN,"39,168.42",11/2/2023,United States,Energy,Oil & Gas,Equity,Common Stock,Common Stock,--,--,--,0.2022889405488968
"FLEETCOR Technologies , Inc. , business payments company helps businesses spend less enabling manage expense-related purchasing vendor payments processes . offers corporate payments solutions , accounts payable automation ; Virtual Card , provides single-use card number specific amount usable within defined timeframe ; Cross-Border used customers pay international vendors , foreign office personnel expenses , capital expenditures , profit repatriation dividends ; purchasing cards travel entertainment cards customers analyze manage corporate spending . company also provides vehicle mobility solutions , including fuel solutions businesses government entities operate vehicle fleets , well oil leasing companies , fuel marketers ; lodging solutions businesses employees travel overnight work purposes , well airlines cruise lines accommodate traveling crews stranded passengers ; electronic toll payments solutions businesses consumers form radio frequency identification tags affixed vehicles ' windshields . addition , offers gift card program management processing services plastic digital forms include card design , production packaging , delivery fulfillment , card account management , transaction processing , promotion development management , website design hosting , program analytics , card distribution channel management . , company provides products consisting payroll cards , vehicle maintenance service solution , long-haul transportation solution , prepaid food vouchers cards , prepaid transportation cards vouchers . serves business , merchant , consumer , payment network customers North America , Brazil , Internationally . company founded 1986 headquartered Atlanta , Georgia .",,FleetCor Technologies Inc,FLT US,"873,169",117,1.18,0.7,206.64MLN,"27,689.22",11/2/2023,United States,Technology,Software & Tech Services,Equity,Common Stock,Common Stock,--,--,--,0.2010674625635147
"Veralto Corporation provides water supply services . company offers water treatment solutions sources water consumers back water cycle . also provides printers , instruments , software , services , consumables color appearance management , packaging design quality management , packaging converting , printing , marking coding , traceability applications food beverage , consumer packaged goods , pharmaceutical , industrial products . Veralto Corporation formerly known DH EAS Holding Corp. changed name Veralto Corporation February 22 , 2023 . company incorporated 2022 based Waltham , Massachusetts . Veralto Corporation operates subsidiary Danaher Corporation .",,Veralto Corp,VLTO US,"231,732",30,0.09,0.05,16.29MLN,"2,108.40",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.200515478849411
"Chubb Limited provides insurance reinsurance products worldwide . company 's North America Commercial P & C Insurance segment offers commercial property , casualty , workers ' compensation , package policies , risk management , financial lines , marine , construction , environmental , medical , cyber risk , surety , excess casualty ; group accident health insurance large , middle market , small commercial businesses . North America Personal P & C Insurance segment provides affluent high net worth individuals families homeowners , automobile collector cars , valuable articles , personal excess liability , travel insurance , recreational marine insurance services . company 's North America Agricultural Insurance segment offers multiple peril crop crop-hail insurance ; coverage farm ranch property , commercial agriculture products . Overseas General Insurance segment provides coverage traditional commercial property casualty ; specialty categories , financial lines , marine , energy , aviation , political risk , construction risk ; group accident health , traditional specialty personal lines corporations , middle markets , small customers retail brokers , agents , channels . company 's Global Reinsurance segment offers traditional specialty reinsurance Chubb Tempest brand property casualty companies . Life Insurance segment provides protection savings products comprising whole life , endowment plans , individual term life , group term life , medical health , personal accident , credit life , universal life , unit linked contracts . markets products primarily insurance reinsurance brokers . company formerly known ACE Limited changed name Chubb Limited January 2016 . Chubb Limited incorporated 1985 headquartered Zurich , Switzerland .",,Chubb Ltd,CB US,"592,523",81,0.15,0.44,129.53MLN,"17,706.60",11/2/2023,Switzerland,Financials,Insurance,Equity,Common Stock,Common Stock,--,--,--,0.1996467560529709
"Linde plc operates industrial gas company North South America , Europe , Middle East , Africa , Asia Pacific . offers atmospheric gases , including oxygen , nitrogen , argon , rare gases ; process gases , carbon dioxide , helium , hydrogen , electronic gases , specialty gases , acetylene . company also designs constructs turnkey process plants third-party customers , well gas businesses various locations , air separation , hydrogen , synthesis , olefin , natural gas plants . serves range industries , including healthcare , chemicals energy , manufacturing , metals mining , food beverage , electronics . company founded 1879 based Woking , United Kingdom .",,Linde PLC,LIN US,"944,166",129,0.19,1.24,367.90MLN,"50,266.14",11/2/2023,United States,Materials,Materials,Equity,Common Stock,Common Stock,--,--,--,0.1995885670185089
"CMS Energy Corporation operates energy company primarily Michigan . company operates three segments : Electric Utility ; Gas Utility ; Enterprises . Electric Utility segment involved generation , purchase , transmission , distribution , sale electricity . segment generates electricity coal , wind , gas , renewable energy , oil , nuclear sources . distribution system comprises 208 miles high-voltage distribution overhead lines ; 4 miles high-voltage distribution underground lines ; 4,428 miles high-voltage distribution overhead lines ; 19 miles high-voltage distribution underground lines ; 82,474 miles electric distribution overhead lines ; 9,395 miles underground distribution lines ; 1,093 substations ; 3 battery facilities . Gas Utility segment engages purchase , transmission , storage , distribution , sale natural gas , includes 2,392 miles transmission lines ; 15 gas storage fields ; 28,065 miles distribution mains ; 8 compressor stations . Enterprises segment involved independent power production marketing , including development operation renewable generation . serves 1.9 million electric 1.8 million gas customers , including residential , commercial , diversified industrial customers . company incorporated 1987 headquartered Jackson , Michigan .",,CMS Energy Corp,CMS US,"2,190,512",297,0.75,0.41,121.60MLN,"16,486.47",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.19927223026752472
"Air Products Chemicals , Inc. provides atmospheric gases , process specialty gases , equipment , related services Americas , Asia , Europe , Middle East , India , internationally . company produces atmospheric gases , including oxygen , nitrogen , argon ; process gases , hydrogen , helium , carbon dioxide , carbon monoxide , syngas ; specialty gases ; equipment production processing gases comprising air separation units non-cryogenic generators customers various industries , including refining , chemical , manufacturing , electronics , magnetic resonance imaging , energy production , medical , food , metals . also designs manufactures equipment air separation , hydrocarbon recovery purification , natural gas liquefaction , liquid helium liquid hydrogen transport storage . company founded 1940 headquartered Allentown , Pennsylvania",,Air Products and Chemicals Inc,APD US,"1,359,595",183,0.61,1.33,393.77MLN,"53,000.46",11/2/2023,United States,Materials,Materials,Equity,Common Stock,Common Stock,--,--,--,0.19900445640087128
"Best Buy Co. , Inc. engages retail technology products United States Canada . company operates two segments , Domestic International . stores provide computing mobile phone products , desktops , notebooks , peripherals ; mobile phones comprising related mobile network carrier commissions ; networking products ; tablets covering e-readers ; smartwatches ; consumer electronics consisting digital imaging , health fitness products , home theater , portable audio comprising headphones portable speakers , smart home products . company 's stores also offer appliances , dishwashers , laundry , ovens , refrigerators , blenders , coffee makers , vacuums ; entertainment products consisting drones , peripherals , movies , music , toys , well gaming hardware software , virtual reality software products ; products , baby , food beverage , luggage , outdoor living , sporting goods . addition , provides consultation , delivery , design , installation , memberships , repair , set-up , technical support , health-related , warranty-related services . company offers products stores websites Best Buy , Best Buy Ads , Best Buy Business , Best Buy Health , Buy Mobile , CST , Current Health , Geek Squad , Lively , Magnolia , Pacific Kitchen , Home , TechLiquidators , Yardbird brands , well domain names comprising bestbuy.com , currenthealth.com , lively.com , techliquidators.com , yardbird.com , bestbuy.ca . company formerly known Sound Music , Inc. Best Buy Co. , Inc. incorporated 1966 headquartered Richfield , Minnesota .",,Best Buy Co Inc,BBY US,"684,009",93,0.31,0.15,45.38MLN,"6,170.55",11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--,0.1986018568277359
"Progressive Corporation , insurance holding company , provides personal commercial auto , personal residential commercial property , general liability , specialty property-casualty insurance products related services United States . operates three segments : Personal Lines , Commercial Lines , Property . Personal Lines segment writes insurance personal autos recreational vehicles ( RV ) . segment 's products include personal auto insurance ; special lines products , including insurance motorcycles , ATVs , RVs , watercrafts , snowmobiles , related products . Commercial Lines segment provides auto-related liability physical damage insurance , business-related general liability property insurance autos , vans , pick-up trucks , dump trucks used small businesses ; tractors , trailers , straight trucks primarily used regional general freight expeditor-type businesses , long-haul operators ; dump trucks , log trucks , garbage trucks used dirt , sand gravel , logging , garbage/debris removal , coal-type businesses ; tow trucks wreckers used towing services gas/service station businesses ; well non-fleet airport taxis , black-car services . Property segment writes residential property insurance homeowners , property owners , renters , well offers manufactured homes , personal umbrella insurance , primary excess flood insurance . company offers policy issuance claims adjusting services ; acts agent homeowners , general liability , workers ' compensation insurance , products . also provides reinsurance services . company sells products independent insurance agencies , well mobile applications phone . Progressive Corporation founded 1937 headquartered Mayfield Village , Ohio .",,Progressive Corp/The,PGR US,"3,113,832",423,0.53,1.67,494.38MLN,"67,159.71",11/2/2023,United States,Financials,Insurance,Equity,Common Stock,Common Stock,--,--,--,0.19664312899112701
"Eaton Corporation plc operates power management company worldwide . company 's Electrical Americas Electrical Global segment provides electrical components , industrial components , power distribution assemblies , residential products , single three phase power quality connectivity products , wiring devices , circuit protection products , utility power distribution products , power reliability equipment , services , well hazardous duty electrical equipment , emergency lighting , fire detection , explosion-proof instrumentation , structural support systems . Aerospace segment offers pumps , motors , hydraulic power units , hoses fittings , electro-hydraulic pumps ; valves , cylinders , electronic controls , electromechanical actuators , sensors , aircraft flap slat systems , nose wheel steering systems ; hose , thermoplastic tubing products , fittings , adapters , couplings , sealing ducting products ; air-to-air refueling systems , fuel pumps , fuel inerting products , sensors , adapters regulators ; oxygen generation system , payload carriages , thermal management products ; wiring connectors cables , well hydraulic bag filters , strainers cartridges , golf grips manufacturers commercial military aircraft , related after-market customers , well industrial applications . company 's Vehicle segment offers transmissions , clutches , hybrid power systems , superchargers , engine valves valve actuation systems , locking limited slip differentials , transmission controls , fuel vapor components vehicle industry . eMobility segment provides voltage inverters , converters , fuses , onboard chargers , circuit protection units , vehicle controls , power distribution systems , fuel tank isolation valves , commercial vehicle hybrid systems . Eaton Corporation plc founded 1911 based Dublin , Ireland .",,Eaton Corp PLC,ETN US,"1,703,575",231,0.43,1.24,368.24MLN,"49,932.96",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.1910780370235443
"Southern Company , subsidiaries , engages generation , transmission , distribution electricity . operates three segments : Gas Distribution Operations , Gas Pipeline Investments , Gas Marketing Services . company also develops , constructs , acquires , owns , manages power generation assets , including renewable energy projects sells electricity wholesale market ; distributes natural gas Illinois , Georgia , Virginia , Tennessee , well provides gas marketing services , gas distribution operations , gas pipeline investments operations . addition , constructs , operates , maintains 77,591 miles natural gas pipelines 14 storage facilities total capacity 157 Bcf provide natural gas residential , commercial , industrial customers . serves approximately 8.8 million electric gas utility customers . , company offers digital wireless communications fiber optics services . Southern Company incorporated 1945 headquartered Atlanta , Georgia .",,Southern Co/The,SO US,"2,505,473","4,234",0.23,0.59,175.68MLN,"296,888.08",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.18804088234901428
"Ameren Corporation , together subsidiaries , operates public utility holding company United States . company operates four segments : Ameren Missouri , Ameren Illinois Electric Distribution , Ameren Illinois Natural Gas , Ameren Transmission . engages rate-regulated electric generation , transmission , distribution activities ; rate-regulated natural gas distribution transmission businesses . addition , company generates electricity coal , nuclear , natural gas , well renewable sources , hydroelectric , wind , methane gas , solar . serves residential , commercial , industrial customers . company founded 1881 headquartered St. Louis , Missouri .",,Ameren Corp,AEE US,"1,650,708",222,0.63,0.44,128.95MLN,"17,342.64",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.18778836727142334
"American Tower , one largest global REITs , leading independent owner , operator developer multitenant communications real estate portfolio nearly 225,000 communications sites highly interconnected footprint U.S. data center facilities .",,American Tower Corp,AMT US,"154,639",21,0.03,0.1,28.48MLN,"3,867.15",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--,0.18772324919700623
"Prologis , Inc. global leader logistics real estate focus high-barrier , high-growth markets . September 30 , 2023 , company owned investments , wholly owned basis co-investment ventures , properties development projects expected total approximately 1.2 billion square feet ( 114 million square meters ) 19 countries . Prologis leases modern logistics facilities diverse base approximately 6,700 customers principally across two major categories : business-to-business retail/online fulfillment",,Prologis Inc,PLD US,"2,336,111",315,0.25,0.83,244.64MLN,"32,986.80",11/2/2023,United States,Real Estate,Real Estate,Equity,REIT,REIT,--,--,--,0.1874886453151703
"Otis Worldwide Corporation engages manufacturing , installation , servicing elevators escalators United States , China , internationally . company operates two segments , New Equipment Service . New Equipment segment designs , manufactures , sells , installs range passenger freight elevators , well escalators moving walkways residential commercial buildings , infrastructure projects . segment serves real-estate building developers , general contractors . Service segment performs maintenance repair services , well modernization services upgrade elevators escalators . Otis Worldwide Corporation founded 1853 headquartered Farmington , Connecticut .",,Otis Worldwide Corp,OTIS US,"2,768,310",375,0.68,0.73,217.73MLN,"29,493.75",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.18666236102581024
"General Dynamics Corporation operates aerospace defense company worldwide . operates four segments : Aerospace , Marine Systems , Combat Systems , Technologies . Aerospace segment produces sells business jets ; offers aircraft maintenance repair , management , aircraft-on-ground support completion , charter , staffing , fixed-base operator services . Marine Systems segment designs builds nuclear-powered submarines , surface combatants , auxiliary ships United States Navy Jones Act ships commercial customers , well builds crude oil product tankers , container cargo ships ; provides maintenance , modernization , lifecycle support services navy ships ; offers program management , planning , engineering , design support services submarine construction programs . Combat Systems segment manufactures land combat solutions , wheeled tracked combat vehicles , Stryker wheeled combat vehicles , piranha vehicles , weapons systems , munitions , mobile bridge systems payloads , tactical vehicles , main battle tanks , armored vehicles , armaments ; offers modernization programs , engineering , support , sustainment services . Technologies segment provides information technology solutions mission support services ; mobile communication , computers , command-and-control mission systems ; intelligence , surveillance , reconnaissance solutions military , intelligence , federal civilian customers ; cloud computing , artificial intelligence ; machine learning ; big data analytics ; development , security , operations ; unmanned undersea vehicle manufacturing assembly services . company founded 1899 headquartered Reston , Virginia .",,General Dynamics Corp,GD US,"363,448",48,0.13,0.3,88.68MLN,"11,712.48",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.1856652796268463
"Dominion Energy , Inc. produces distributes energy United States . operates four segments : Dominion Energy Virginia , Gas Distribution , Dominion Energy South Carolina , Contracted Assets . Dominion Energy Virginia segment generates , transmits , distributes regulated electricity approximately 2.7 million residential , commercial , industrial , governmental customers Virginia North Carolina . Gas Distribution segment involved regulated natural gas sales , transportation , gathering , storage , distribution operations Ohio , North Carolina , Utah , southwestern Wyoming , southeastern Idaho serve approximately 3.0 million residential , commercial industrial customers . also nonregulated renewable natural gas facilities operation . Dominion Energy South Carolina segment generates , transmits , distributes electricity approximately 782,000 customers central , southern , southwestern portions South Carolina ; distributes natural gas approximately 435,000 residential , commercial , industrial customers South Carolina . Contracted Assets segment involved nonregulated long-term contracted renewable electric generation solar generation facility development operations ; gas transportation , LNG import , storage operations , well liquefaction facility . December 31 , 2022 , company 's portfolio assets included approximately 31.0 gigawatt electric generating capacity ; 10,600 miles electric transmission lines ; 78,500 miles electric distribution lines ; 93,500 miles gas distribution mains related service facilities . company formerly known Dominion Resources , Inc. Dominion Energy , Inc. incorporated 1983 headquartered Richmond , Virginia .",,Dominion Energy Inc,D US,"1,281,504",174,0.15,0.18,52.64MLN,"7,147.92",11/2/2023,United States,Utilities,Utilities,Equity,Common Stock,Common Stock,--,--,--,0.18396487832069397
"Apple Inc. designs , manufactures , markets smartphones , personal computers , tablets , wearables , accessories worldwide . company offers iPhone , line smartphones ; Mac , line personal computers ; iPad , line multi-purpose tablets ; wearables , home , accessories comprising AirPods , Apple TV , Apple Watch , Beats products , HomePod . also provides AppleCare support cloud services ; operates various platforms , including App Store allow customers discover download applications digital content , books , music , video , games , podcasts . addition , company offers various services , Apple Arcade , game subscription service ; Apple Fitness+ , personalized fitness service ; Apple Music , offers users curated listening experience on-demand radio stations ; Apple News+ , subscription news magazine service ; Apple TV+ , offers exclusive original content ; Apple Card , co-branded credit card ; Apple Pay , cashless payment service , well licenses intellectual property . company serves consumers , small mid-sized businesses ; education , enterprise , government markets . distributes third-party applications products App Store . company also sells products retail online stores , direct sales force ; third-party cellular network carriers , wholesalers , retailers , resellers . Apple Inc. founded 1976 headquartered Cupertino , California .",,Apple Inc,AAPL US,"303,849",42,0.0,0.18,53.95MLN,"7,457.94",11/2/2023,United States,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--,0.18295149505138397
"ASML Holding N.V. develops , produces , markets , sells , services advanced semiconductor equipment systems consisting lithography , metrology , inspection systems memory logic chipmakers . company provides extreme ultraviolet lithography systems ; deep ultraviolet lithography systems comprising immersion dry lithography solutions manufacture various range semiconductor nodes technologies . also offers metrology inspection systems , including YieldStar optical metrology solutions assess quality patterns wafers ; HMI e-beam solutions locate analyze individual chip defects . addition , company provides computational lithography lithography process control software solutions ; refurbishes upgrades older lithography systems , well offers customer support associated services . operates Japan , South Korea , Singapore , Taiwan , China , rest Asia , Netherlands , rest Europe , Middle East , Africa , United States . company formerly known ASM Lithography Holding N.V. changed name ASML Holding N.V. 2001 . ASML Holding N.V. founded 1984 headquartered Veldhoven , Netherlands .",,ASML Holding NV - Depositary Receipt,ASML US,"273,089",36,0.07,0.58,172.43MLN,"22,730.04",11/2/2023,Netherlands,Technology,Tech Hardware & Semiconductors,Equity,Common Stock,Common Stock,--,--,--,0.1817372739315033
