North,Name,Primary Exchange,Ticker,Parent Comp. Name,Fund Objective,Fund Geographical Focus,Fund Asset Class Focus,General Attribute,Tot Asset US$ (M),Expense Ratio,Avg Dvd Yield,Alpha 1Y-M,Alpha 3Y,Tot Ret 1Y,Tot Ret 3Y,Sharpe 1Y-M,Sharpe 3Y,Beta 1Y-M,Beta 3Y
Yes,SIMPLIFY INTEREST RATE HEDGE,NYSE Arca,PFIX US Equity,Simplify Exchange Traded Funds,Government,United States,Fixed Income,N.A.,230.777,0.5,,1.755,,30.946,,1.133,,-2.3,
No,FIRST TRUST FINANCIAL ALPHAD,NYSE Arca,FXO US Equity,First Trust ETFs/USA,Financial,United States,Equity,N.A.,724.965,0.61,3.449,-0.046,-0.049,-2.642,43.35,-0.44,0.557,0.995,1
No,ISHARS RES AND MULTI REALES,NYSE Arca,REZ US Equity,iShares ETFs/USA,Real Estate,United States,Equity,N.A.,560.231,0.48,4.579,-0.044,-0.034,-0.478,11.219,-0.748,0.191,1.003,1.003
Yes,SIMPLIFY VOLATILITY PREMIUM,NYSE Arca,SVOL US Equity,Simplify Exchange Traded Funds,Derivative,United States,Specialty,N.A.,492.578,0.5,,0.015,,25.753,,2.229,,-0.202,
Yes,ETFMG U.S. ALTERNATIVE HARVE,NYSE Arca,MJUS US Equity,ETF Managers Trust,Thematic,Global,Equity,N.A.,109.852,0.75,2.844,0.095,,-42.314,,-0.955,,0.988,
Yes,WISDOMTREE INTERNATIONAL EFF,NYSE Arca,NTSI US Equity,WisdomTree ETFs/USA,International,International,Equity,N.A.,257.504,0.26,3.485,,,17.936,,0.382,,,
No,SPDR PORTFOLIO AGGREGATE BON,NYSE Arca,SPAB US Equity,State Street ETF/USA,Aggregate Bond,United States,Fixed Income,N.A.,7099.667,0.03,,-0.011,0.01,2.859,-13.952,-0.611,-1.173,1.022,1.016
Yes,PUTNAM FOCUSED LRG CAP VALUE,NYSE Arca,PVAL US Equity,Putnam ETF Trust,Large-cap,United States,Equity,N.A.,214.897,0.55,2.067,0.607,,13.131,,0.246,,0.982,
No,FLEXSHARES IBOXX 3-YEAR TARG,NYSE Arca,TDTT US Equity,FlexShares ETFs/USA,Inflation Protected,United States,Fixed Income,N.A.,1930.916,0.18,,-0.027,-0.019,3.706,4.935,-0.972,-0.162,1.026,1.027
No,SPDR PORTFOLIO S&P 500 GROWT,NYSE Arca,SPYG US Equity,State Street ETF/USA,Large-cap,United States,Equity,N.A.,19181.119,0.04,1.265,-0.003,-0.004,23.656,24.097,0.516,0.347,0.995,0.999
No,PROSHARES ULTRA BLOOMBERG CR,NYSE Arca,UCO US Equity,ProShares ETFs/USA,Energy,United States,Commodity,N.A.,641.475,0.95,,-0.185,-0.407,-2.779,405.798,0.133,1.814,2.12,2.047
No,TEUCRIUM WHEAT FUND,NYSE Arca,WEAT US Equity,Teucrium ETFs/USA,Agriculture,United States,Commodity,N.A.,199.767,0.28,,0.157,-0.014,-33.14,-2.203,-2.05,0.019,0.994,0.996
Yes,PUTNAM SUSTAINABLE FUTURE,NYSE Arca,PFUT US Equity,Putnam ETF Trust,Mid-cap,United States,Equity,"Socially Responsible,Environmentally Friendly",174.247,0.64,0.415,0.048,,14.232,,-0.002,,0.916,
Yes,PUTNAM SUSTAINABLE LEADERS,NYSE Arca,PLDR US Equity,Putnam ETF Trust,Large-cap,United States,Equity,N.A.,373.2,0.59,1.081,-0.055,,18.195,,0.338,,0.935,
Yes,DIMENSIONAL US SMALL CAP ETF,NYSE Arca,DFAS US Equity,Dimensional ETF Trust,Small-cap,United States,Equity,N.A.,5789.594,0.26,1.605,,,4.228,,-0.36,,,
No,INVESCO EMERGING MARKETS SOV,NYSE Arca,PCY US Equity,Invesco ETFs/USA,Fixed Income Emerging Market,International,Fixed Income,N.A.,1317.882,0.5,,-0.117,0.14,17.058,-17.879,0.555,-0.517,1.237,1.075
No,SPDR BLOOMBERG CONVERTIBLE S,NYSE Arca,CWB US Equity,State Street ETF/USA,N.A.,United States,Fixed Income,N.A.,3348.88,0.4,0,-0.03,-0.068,6.473,1.936,-0.215,-0.047,1.013,1.016
Yes,DIMENSIONAL US CORE EQUITY 2,NYSE Arca,DFAC US Equity,Dimensional ETF Trust,Broad Market,United States,Equity,N.A.,21047.449,0.17,1.697,,,13.363,,0.092,,,
Yes,DIMENSIONAL US EQUITY ETF,NYSE Arca,DFUS US Equity,Dimensional ETF Trust,Broad Market,United States,Equity,N.A.,6756.326,0.09,1.5,,,18.23,,0.365,,,
No,PROSHARES ULTPRO SHRT DOW30,NYSE Arca,SDOW US Equity,ProShares ETFs/USA,Large-cap,United States,Equity,N.A.,402.628,0.95,,1.397,0.661,-15.871,-64.6,0.015,-0.451,-3.02,-2.816
Yes,DIMENSIONAL US TARGET VALUE,NYSE Arca,DFAT US Equity,Dimensional ETF Trust,Broad Market,United States,Equity,N.A.,8054.731,0.28,2.035,0.813,,7.791,,-0.178,,1.023,
No,INVESCO S&P 500 QVM MULTI-FA,NYSE Arca,QVML US Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,815.362,0.11,1.586,0.006,,16.313,,0.286,,0.975,
No,INVESCO S&P MIDCAP 400 QVM M,NYSE Arca,QVMM US Equity,Invesco ETFs/USA,Mid-cap,United States,Equity,N.A.,246.253,0.15,1.72,-0.016,,5.397,,-0.268,,0.989,
No,PIMCO 25+ YR ZERO CPN US TIF,NYSE Arca,ZROZ US Equity,Pimco ETFs/USA,Government,United States,Fixed Income,N.A.,1072.532,0.15,,0.064,0.03,-12.523,-53.367,-0.841,-1.192,1.022,1.005
No,ISHARES MSCI JAPAN ETF,NYSE Arca,EWJ US Equity,iShares ETFs/USA,Japan,Japan,Equity,N.A.,12883.07,0.5,2.273,0.03,0.013,25.404,7.756,0.914,0.067,1.113,0.974
No,ISHARES MSCI MALAYSIA ETF,NYSE Arca,EWM US Equity,iShares ETFs/USA,Malaysia,Malaysia,Equity,N.A.,229.945,0.5,4.581,-0.081,0.008,7.612,-7.074,-0.121,-0.224,1.044,1.02
No,INVESCO S&P SMALLCAP 600 QVM,NYSE Arca,QVMS US Equity,Invesco ETFs/USA,Small-cap,United States,Equity,N.A.,185.728,0.15,1.937,-0.028,,2.165,,-0.519,,0.985,
No,UNITED STATES COMMODITY INDE,NYSE Arca,USCI US Equity,United States Commodities ETFs/USA,Broad Based,United States,Commodity,N.A.,192.998,1.11,,-0.135,-0.14,8.264,98.699,0.525,1.507,1.046,1.004
No,INVESCO FUNDAMENTAL HIGH YIE,NYSE Arca,PHB US Equity,Invesco ETFs/USA,Corporate,United States,Fixed Income,N.A.,517.377,0.5,,-0.113,-0.047,8.518,3.669,0.04,-0.121,1.271,1.089
No,ISHARES IBONDS DEC 2031 CORP,NYSE Arca,IBDW US Equity,iShares ETFs/USA,Corporate,United States,Fixed Income,N.A.,484.48,0.1,,-0.014,,5.811,,-0.18,,1.071,
No,ISHARES RUSSELL TOP 200 VALU,NYSE Arca,IWX US Equity,iShares ETFs/USA,Large-cap,United States,Equity,N.A.,1674.113,0.2,2.642,-0.023,-0.018,7.025,35.009,-0.176,0.604,0.999,0.997
No,SPDR DJIA TRUST,NYSE Arca,DIA US Equity,State Street ETF/USA,Large-cap,United States,Equity,N.A.,28182.92,0.16,2.14,-0.016,-0.013,8.624,31.173,-0.098,0.526,0.998,1
No,ROUNDHILL BALL METAVERSE ETF,NYSE Arca,METV US Equity,Listed Funds Trust,Thematic,Global,Equity,N.A.,414.423,0.59,0.804,-0.072,,42.032,,0.898,,1.014,
No,SCHWAB U.S. LARGE-CAP GROWTH,NYSE Arca,SCHG US Equity,Schwab ETFs/USA,Large-cap,United States,Equity,N.A.,19702.26,0.04,0.495,-0.004,-0.006,37.563,32.797,1.071,0.439,1.001,1.001
No,ISHARES GOLD TRUST MICRO,NYSE Arca,IAUM US Equity,iShares ETFs/USA,Precious Metals,Global,Commodity,N.A.,931.823,0.09,,-0.072,,22.099,,1.075,,1.034,
No,ISHARES MORNINGSTAR MID-CAP,NYSE Arca,IMCG US Equity,iShares ETFs/USA,Mid-cap,United States,Equity,N.A.,1482.21,0.06,1.047,-0.012,-0.081,9.339,4.184,-0.118,0.043,0.994,0.997
No,INVESCO S&P INTERNATIONAL DE,NYSE Arca,IDLV US Equity,Invesco ETFs/USA,International,International,Equity,N.A.,523.294,0.25,3.536,0.04,0.017,12.924,5.534,0.249,0.026,1.095,1.006
No,INDUSTRIAL SELECT SECT SPDR,NYSE Arca,XLI US Equity,State Street ETF/USA,Industrials,United States,Equity,N.A.,14069.71,0.1,1.819,-0.01,-0.01,10.433,32.698,0.143,0.516,0.998,1
No,UTILITIES SELECT SECTOR SPDR,NYSE Arca,XLU US Equity,State Street ETF/USA,Utilities,United States,Equity,N.A.,13833.492,0.1,3.51,-0.004,-0.005,-4.247,4.843,-0.743,0.062,0.998,0.998
No,HEALTH CARE SELECT SECTOR,NYSE Arca,XLV US Equity,State Street ETF/USA,Health Care,United States,Equity,N.A.,36251.461,0.1,1.765,-0.01,-0.01,-0.409,27.087,-0.786,0.516,0.995,1.001
Yes,GS FUTURE TECH LEADERS EQ,NYSE Arca,GTEK US Equity,Goldman Sachs ETF Trust,Technology,Global,Equity,N.A.,237.072,0.75,0.438,,,18.139,,0.164,,,
No,SPDR PORTFOLIO EMERGING MARK,NYSE Arca,SPEM US Equity,State Street ETF/USA,Emerging Markets,International,Equity,N.A.,7174.27,0.07,2.347,-0.097,0.031,13.449,-1.831,0.384,-0.131,1.074,1.003
No,ISHARES CALIFORNIA MUNI BOND,NYSE Arca,CMF US Equity,iShares ETFs/USA,Municipals,California,Fixed Income,N.A.,2385.545,0.25,,-0.002,-0.002,3.76,-6.095,-0.311,-0.705,1.023,1.009
Yes,IQ MACKAY ESG CORE PLUS BOND,NYSE Arca,ESGB US Equity,IndexIQ ETF Trust,Aggregate Bond,Global,Fixed Income,ESG,233.012,0.39,,0.063,,3.711,,-0.493,,1.005,
Yes,GS FUTURE PLANET EQUITY ETF,NYSE Arca,GSFP US Equity,Goldman Sachs ETF Trust,Thematic,Global,Equity,"Natural Resources,Clean Energy,Environmentally Friendly",119.771,0.75,2.039,,,-0.144,,-0.402,,,
Yes,AMERICAN CENT MUTLISEC INCOM,NYSE Arca,MUSI US Equity,American Century ETF Trust,Aggregate Bond,Global,Fixed Income,N.A.,152.118,0.35,,0.143,,4.73,,-0.505,,0.753,
No,INVESCO FTSE RAFI EMERGING M,NYSE Arca,PXH US Equity,Invesco ETFs/USA,Emerging Markets,International,Equity,N.A.,1111.479,0.49,4.548,-0.139,-0.06,17.622,15.79,0.524,0.214,1.082,1.011
No,DIREXION DLY SM CAP BULL 3X,NYSE Arca,TNA US Equity,Direxion ETFs/USA,Small-cap,United States,Equity,N.A.,1501.683,1.05,1.133,-0.962,-0.654,-20.09,-25.777,-0.544,0.143,3.034,3.082
No,PACER MET US LRG CAP DVD 400,NYSE Arca,QDPL US Equity,Pacer ETFs/USA,Large-cap,United States,Equity,N.A.,168.319,0.79,1.607,0.005,,17.246,,0.423,,0.973,
Yes,HARBOR SCIENTIFIC ALPHA HIGH,NYSE Arca,SIHY US Equity,Harbor ETF Trust,Corporate,Global,Fixed Income,N.A.,110.061,0.48,,0.098,,11.535,,0.389,,1.021,
Yes,IMPACT SHARES AFFORDABLE HOU,NYSE Arca,OWNS US Equity,Impact Shares Funds I Trust,Mortgage-Backed,United States,Fixed Income,Socially Responsible,111.847,0.3,,,,1.727,,-0.755,,,
No,ISHARES RUSSELL 3000 ETF,NYSE Arca,IWV US Equity,iShares ETFs/USA,Broad Market,United States,Equity,N.A.,10992.59,0.2,1.591,-0.01,-0.014,17.217,30.93,0.289,0.477,0.994,0.997
No,ISHARES RUSSELL 1000 GROWTH,NYSE Arca,IWF US Equity,iShares ETFs/USA,Large-cap,United States,Equity,N.A.,71318.727,0.19,0.777,-0.014,-0.017,31.438,30.292,0.883,0.42,0.998,1.003
Yes,T ROWE PRICE ULTRA SHORT-TER,NYSE Arca,TBUX US Equity,T Rowe Price Exchange-Traded Funds Inc,Government,United States,Fixed Income,N.A.,112.591,0.17,,0.225,,6.281,,1.635,,0.668,
Yes,T ROWE PRICE QM US BOND ETF,NYSE Arca,TAGG US Equity,T Rowe Price Exchange-Traded Funds Inc,Aggregate Bond,United States,Fixed Income,N.A.,106.233,0.08,,-0.002,,2.398,,-0.578,,1.046,
No,PIMCO 1-5 YEAR US TIPS INDEX,NYSE Arca,STPZ US Equity,Pimco ETFs/USA,Inflation Protected,United States,Fixed Income,N.A.,618.814,0.2,,-0.018,-0.017,3.683,5.167,-1.086,-0.141,1.009,1.026
Yes,T ROWE PRICE TOTAL RETURN ET,NYSE Arca,TOTR US Equity,T Rowe Price Exchange-Traded Funds Inc,Aggregate Bond,United States,Fixed Income,N.A.,106.384,0.31,,0.026,,3.056,,-0.566,,0.99,
Yes,DIMENSIONAL NATIONAL MUNI BD,NYSE Arca,DFNM US Equity,Dimensional ETF Trust,Municipals,United States,Fixed Income,N.A.,1040.243,0.17,,-0.031,,2.431,,-0.652,,0.837,
No,ISHARES U.S. OIL EQUIPMENT &,NYSE Arca,IEZ US Equity,iShares ETFs/USA,Energy,United States,Equity,N.A.,353.632,0.4,1.33,-0.039,-0.038,13.742,215.696,0.348,1.282,0.999,0.997
Yes,DIMENSIONAL CORE FIXED INC,NYSE Arca,DFCF US Equity,Dimensional ETF Trust,Aggregate Bond,Global,Fixed Income,N.A.,3575.745,0.17,,,,4.93,,-0.327,,,
No,VANGUARD S&P MID-CAP 400 VAL,NYSE Arca,IVOV US Equity,Vanguard ETF/USA,Mid-cap,United States,Equity,N.A.,741.296,0.15,2.129,-0.015,-0.019,4.039,44.644,-0.292,0.604,0.999,1.01
No,VANGUARD S&P MID-CAP 400 GRO,NYSE Arca,IVOG US Equity,Vanguard ETF/USA,Mid-cap,United States,Equity,N.A.,727.32,0.15,1.534,-0.016,-0.014,8.637,17.14,-0.162,0.261,0.997,1.007
Yes,DIMENSIONAL INFLATION-PROTEC,NYSE Arca,DFIP US Equity,Dimensional ETF Trust,Inflation Protected,United States,Fixed Income,N.A.,409.616,0.11,,-0.636,,2.755,,-0.866,,2.441,
No,VANGUARD S&P 500 VALUE ETF,NYSE Arca,VOOV US Equity,Vanguard ETF/USA,Large-cap,United States,Equity,N.A.,3545.167,0.1,2.027,-0.012,-0.016,14.157,45.928,0.242,0.737,0.994,1.001
No,DIREXION DAILY FIN BULL 3X,NYSE Arca,FAS US Equity,Direxion ETFs/USA,Financial,United States,Equity,N.A.,1623.354,0.95,1.359,-0.914,-0.48,-10.496,66.136,-0.314,0.647,2.989,3.031
Yes,DIMENSIONAL SHORT DURATION,NYSE Arca,DFSD US Equity,Dimensional ETF Trust,Aggregate Bond,Global,Fixed Income,N.A.,1692.795,0.16,,,,6.014,,-0.194,,,
Yes,AAM B&G SM/MID CAP INC GRWTH,NYSE Arca,SMIG US Equity,ETF Series Solutions/Advisors Asset Management Inc,Mid-cap,United States,Equity,N.A.,322.52,0.6,2.933,0.031,,5.309,,-0.446,,0.708,
No,WISDOMTREE US HIGH DIVIDEND,NYSE Arca,DHS US Equity,WisdomTree ETFs/USA,Large-cap,United States,Equity,N.A.,1070.908,0.38,5.157,-0.053,-0.038,-3.205,38.497,-0.883,0.619,0.989,0.993
No,SPDR GLOBAL DOW ETF,NYSE Arca,DGT US Equity,State Street ETF/USA,Global,Global,Equity,N.A.,162.808,0.5,3.323,0.002,0.016,21.153,44.056,0.696,0.677,1.024,0.995
No,INVESCO S&P SMALLCAP VALUE W,NYSE Arca,XSVM US Equity,Invesco ETFs/USA,Small-cap,United States,Equity,N.A.,605.638,0.36,1.998,-0.058,-0.026,5.842,72.978,-0.211,0.793,0.998,0.999
Yes,DIMENSIONAL INTERNATIONAL VA,NYSE Arca,DFIV US Equity,Dimensional ETF Trust,International,International,Equity,N.A.,5693.792,0.27,4.858,-0.026,,22.652,,0.717,,1.1,
No,VANGUARD FTSE PACIFIC ETF,NYSE Arca,VPL US Equity,Vanguard ETF/USA,Asian Pacific Region,Asian Pacific Region,Equity,N.A.,6385.691,0.08,3.056,0.035,0.016,19.805,6.911,0.535,0.055,1.084,0.98
No,ISHARES JP MORGAN EM LOCAL C,NYSE Arca,LEMB US Equity,iShares ETFs/USA,Government,International,Fixed Income,N.A.,454.851,0.3,,-0.359,-0.069,11.261,-11.392,0.303,-0.647,1.149,1.033
Yes,DIMENSIONAL WORLD EX US CORE,NYSE Arca,DFAX US Equity,Dimensional ETF Trust,International,International,Equity,N.A.,5639.328,0.3,3.389,0.346,,19.535,,0.565,,1.046,
Yes,JPMORGAN ACTIVE VALUE ETF,NYSE Arca,JAVA US Equity,JP Morgan ETFs/USA,Large-cap,United States,Equity,N.A.,643.529,0.44,2.338,-0.407,,4.508,,-0.321,,0.921,
No,DIREXION DAILY REAL ESTATE B,NYSE Arca,DRV US Equity,Direxion ETFs/USA,Real Estate,United States,Equity,N.A.,123.83,0.95,,0.863,0.425,-15.092,-58.098,0.418,-0.165,-2.991,-2.952
No,ISHARES GLOBAL COMM SERVICES,NYSE Arca,IXP US Equity,iShares ETFs/USA,Communications Sector,Global,Equity,N.A.,272.144,0.42,1.62,-0.064,-0.017,42.196,7.587,1.368,0.054,1.031,1
Yes,AVANTIS US LARGE CAP VALUE,NYSE Arca,AVLV US Equity,American Century ETF Trust,Large-cap,United States,Equity,N.A.,1609.163,0.15,2.26,0.272,,9.036,,-0.022,,1.134,
No,ISHARES MSCI ISRAEL ETF,NYSE Arca,EIS US Equity,iShares ETFs/USA,Israel,Israel,Equity,N.A.,115.997,0.58,3.268,-0.001,-0.003,-14.179,-4.417,-1.28,-0.13,0.973,0.98
Yes,AVANTIS EMERGING MARKETS VAL,NYSE Arca,AVES US Equity,American Century ETF Trust,Emerging Markets,International,Equity,N.A.,301.013,0.36,3.525,-0.041,,18.372,,0.581,,1.136,
No,ISHARES GLOBAL ENERGY ETF,NYSE Arca,IXC US Equity,iShares ETFs/USA,Energy,Global,Equity,N.A.,3017.971,0.44,4.411,0.045,0.048,4.541,185.173,-0.002,1.556,0.991,0.996
Yes,NUVEEN GROWTH OPPORTUNITIES,NYSE Arca,NUGO US Equity,Nuveen ETFs/USA,Broad Market,United States,Equity,N.A.,2577.149,0.55,0.569,,,35.89,,1.199,,,
No,SPDR NUVEEN BLOOMBERG MUNICI,NYSE Arca,TFI US Equity,State Street ETF/USA,Municipals,United States,Fixed Income,N.A.,3362.629,0.23,,-0.066,-0.053,3.077,-9.628,-0.357,-0.785,1.067,1.017
No,PROSHARES ULTRA S&P500,NYSE Arca,SSO US Equity,ProShares ETFs/USA,Large-cap,United States,Equity,N.A.,3185.329,0.91,1.607,-0.58,-0.309,29.777,49.874,0.347,0.527,1.987,2.011
Yes,AVANTIS REAL ESTATE ETF,NYSE Arca,AVRE US Equity,American Century ETF Trust,Real Estate,Global,Equity,N.A.,330.901,0.17,4.384,-0.107,,2.07,,-0.606,,0.954,
No,DIREXION DAILY SEMI BEAR 3X,NYSE Arca,SOXS US Equity,Direxion ETFs/USA,Technology,United States,Equity,N.A.,693.637,1.01,,1.764,-0.324,-83.041,-96.757,-0.633,-0.492,-2.776,-2.869
No,PROSHARES ULTRA BLOOMBERG NA,NYSE Arca,BOIL US Equity,ProShares ETFs/USA,Energy,United States,Commodity,N.A.,757.678,0.95,,-0.854,0.389,-91.126,-90.826,-0.842,0.077,1.799,1.969
Yes,AVANTIS INT LRG CAP VAL ETF,NYSE Arca,AVIV US Equity,American Century ETF Trust,International,International,Equity,N.A.,268.51,0.25,4.324,-0.077,,22.062,,0.684,,1.142,
No,INVESCO S&P EMERGING MARKETS,NYSE Arca,EELV US Equity,Invesco ETFs/USA,Emerging Markets,International,Equity,N.A.,708.638,0.29,3.514,-0.154,-0.056,10.841,26.868,0.147,0.474,1.055,0.995
Yes,INNOVATOR INT DEV POWER BUFF,NYSE Arca,IOCT US Equity,Innovator ETF Trust,International,International,Equity,N.A.,107.994,0.85,,0.62,,19.728,,1.207,,0.485,
No,KRANESHARES CALIFORNIA CARBO,NYSE Arca,KCCA US Equity,KraneShares ETFs/USA,Energy,California,Commodity,Carbon Emission Trading,276.389,0.79,,-0.294,,29.281,,0.851,,1.023,
Yes,JPMORGAN INCOME ETF,NYSE Arca,JPIE US Equity,JP Morgan ETFs/USA,Aggregate Bond,Global,Fixed Income,N.A.,764.391,0.41,,0.369,,6.698,,-0.026,,0.565,
Yes,PROSHARES BITCOIN STRAT ETF,NYSE Arca,BITO US Equity,ProShares ETFs/USA,N.A.,Global,Alternative,N.A.,1233.039,0.95,,-0.251,,66.209,,1.435,,1.009,
Yes,PACER PACIFIC ASSET FLOATING,NYSE Arca,FLRT US Equity,Pacer ETFs/USA,N.A.,Global,Fixed Income,N.A.,160.934,0.6,,0.931,0.25,14.255,14.506,2.238,0.519,0.183,0.133
Yes,SIMPLIFY HEDGED EQUITY ETF,NYSE Arca,HEQT US Equity,Simplify Exchange Traded Funds,Large-cap,United States,Equity,N.A.,108.384,0.53,1.634,,,11.146,,0.316,,,
Yes,GOLDMAN SACHS FUT CONSUMER,NYSE Arca,GBUY US Equity,Goldman Sachs ETF Trust,Thematic,Global,Equity,N.A.,167.15,0.75,0.722,,,22.092,,0.389,,,
No,PIMCO 0-5 YEAR H/Y CORP BOND,NYSE Arca,HYS US Equity,Pimco ETFs/USA,Corporate,United States,Fixed Income,N.A.,1176.674,0.55,,-0.072,-0.069,9.244,11.333,0.238,0.192,1.114,1.119
Yes,FT LTD DURATION INV GRADE,NYSE Arca,FSIG US Equity,First Trust ETFs/USA,Corporate,United States,Fixed Income,N.A.,786.976,0.55,,-0.016,,5.037,,-0.422,,0.904,
Yes,PGIM TOTAL RETURN BOND ETF,NYSE Arca,PTRB US Equity,PGIM ETF Trust,Aggregate Bond,United States,Fixed Income,N.A.,103.949,0.49,,0.161,,4.926,,-0.3,,1.088,
No,VANECK RARE EARTH/STRAT MET,NYSE Arca,REMX US Equity,VanEck ETFs/USA,Materials,Global,Equity,N.A.,407.889,0.54,2.462,0.372,0.034,-30.204,50.351,-0.759,0.544,1.098,1.021
No,INVESCO S&P 500 GARP ETF,NYSE Arca,SPGP US Equity,Invesco ETFs/USA,Large-cap,United States,Equity,N.A.,3719.689,0.33,2.117,-0.026,-0.03,15.741,50.115,0.276,0.758,0.999,0.999
Yes,ALINZ US LRG 6 MT BUF JANJUL,NYSE Arca,SIXJ US Equity,AIM ETF Products Trust,Large-cap,United States,Equity,N.A.,118.255,0.74,,0.08,,10.386,,0.252,,0.562,
No,PROSHARES SHORT DOW30,NYSE Arca,DOG US Equity,ProShares ETFs/USA,Large-cap,United States,Equity,N.A.,188.908,0.95,,0.697,0.266,-1.421,-22.539,-0.022,-0.537,-1.005,-0.976
No,SPDR S&P HEALTH CARE EQUIPME,NYSE Arca,XHE US Equity,State Street ETF/USA,Health Care,United States,Equity,N.A.,293.989,0.35,0.404,-0.018,-0.015,-14.834,-28.616,-1.105,-0.472,1.007,1.004
Yes,AVANTIS US SMALL CAP EQUITY,NYSE Arca,AVSC US Equity,American Century ETF Trust,Small-cap,United States,Equity,N.A.,462.207,0.25,1.802,0.308,,3.27,,-0.403,,1.031,
No,PROSHARES ULTRA FINANCIALS,NYSE Arca,UYG US Equity,ProShares ETFs/USA,Financial,United States,Equity,N.A.,582.159,0.95,1.95,-0.157,-0.414,3.696,50.259,-0.238,0.522,1.897,1.839
No,ISHARES U.S. INSURANCE ETF,NYSE Arca,IAK US Equity,iShares ETFs/USA,Financial,United States,Equity,N.A.,380.995,0.4,2.012,-0.033,-0.032,9.15,70.69,0.092,1.085,1.004,1.006
No,VANGUARD EXTENDED DUR TREAS,NYSE Arca,EDV US Equity,Vanguard ETF/USA,Government,United States,Fixed Income,N.A.,2477.164,0.06,,0.098,0.088,-10.179,-51.452,-0.767,-1.223,1.029,1.022
No,PROSHARES ULTRAPRO S&P 500,NYSE Arca,UPRO US Equity,ProShares ETFs/USA,Large-cap,United States,Equity,N.A.,2565.637,0.92,1.606,-1.128,-0.547,39.147,54.346,0.334,0.549,2.966,3.021
Yes,CAPITAL GROUP CORE PLUS INCO,NYSE Arca,CGCP US Equity,Capital Research and Management Company/ETFs,Aggregate Bond,United States,Fixed Income,N.A.,1163.026,0.34,,0.118,,4.841,,-0.398,,1.019,
No,FLEXSHARES GLOBAL UPSTREAM N,NYSE Arca,GUNR US Equity,FlexShares ETFs/USA,Thematic,Global,Equity,Natural Resources,7150.146,0.46,4.604,-0.045,-0.07,0.657,62.021,-0.347,0.827,1.047,1.011
No,GLOBAL X URANIUM ETF,NYSE Arca,URA US Equity,Global X ETFs/USA,Energy,Global,Equity,N.A.,2257.487,0.69,0.894,0.158,0.026,37.255,163.175,1.243,1.244,0.982,0.986
Yes,SIMPLIFY AGGREGATE BOND ETF,NYSE Arca,AGGH US Equity,Simplify Exchange Traded Funds,Aggregate Bond,United States,Fixed Income,N.A.,122.429,0.29,,0.214,,4.815,,-0.271,,0.874,
Yes,CAPITAL GROUP CORE EQUITY,NYSE Arca,CGUS US Equity,Capital Research and Management Company/ETFs,Broad Market,United States,Equity,N.A.,1378.879,0.33,1.611,0.354,,21.743,,0.724,,0.871,
Yes,CAPITAL GROUP INTL FOCUS ETY,NYSE Arca,CGXU US Equity,Capital Research and Management Company/ETFs,International,International,Equity,N.A.,1612.606,0.54,1.954,-0.442,,15.496,,0.29,,1.397,
No,SPDR NUVEEN BLOOMBERG SHORT,NYSE Arca,SHM US Equity,State Street ETF/USA,Municipals,United States,Fixed Income,N.A.,3824.247,0.2,,-0.04,-0.017,2.024,-3.82,-0.82,-1.019,1.049,1.019
Yes,DIMENSIONAL US SMALL CAP VAL,NYSE Arca,DFSV US Equity,Dimensional ETF Trust,Small-cap,United States,Equity,N.A.,1902.712,0.31,2.164,,,5.835,,-0.248,,,
No,ISHARES MSCI MEXICO ETF,NYSE Arca,EWW US Equity,iShares ETFs/USA,Mexico,Mexico,Equity,N.A.,1217.549,0.5,2.101,-0.047,-0.024,19.226,85.694,0.39,0.866,0.986,0.984
No,ISHARES GLOBAL CONSUMER DISC,NYSE Arca,RXI US Equity,iShares ETFs/USA,Consumer Discretionary,Global,Equity,N.A.,302.332,0.41,1.711,-0.037,-0.017,21.736,9.176,0.417,0.116,1.046,1.022
No,ISHARES MSCI BRAZIL ETF,NYSE Arca,EWZ US Equity,iShares ETFs/USA,Brazil,Brazil,Equity,N.A.,5162.106,0.58,5.528,-0.18,-0.065,6.434,47.408,-0.068,0.489,1.041,1.004
No,VANECK URANIUM + NUCLEAR ENE,NYSE Arca,NLR US Equity,VanEck ETFs/USA,Energy,Global,Equity,N.A.,118.364,0.61,2.445,0.083,0.049,37.377,62.171,1.773,1.095,0.983,0.983
No,GLOBAL X COPPER MINERS ETF,NYSE Arca,COPX US Equity,Global X ETFs/USA,Materials,Global,Equity,N.A.,1355.55,0.65,2.965,-0.052,-0.061,19.504,62.836,0.516,0.631,1.038,1.013
Yes,CAPITAL GROUP GLOBAL GROWTH,NYSE Arca,CGGO US Equity,Capital Research and Management Company/ETFs,Global,Global,Equity,N.A.,2047.875,0.47,1.251,0.274,,24.586,,0.697,,1.086,
Yes,DIMENSIONAL US HIGH PROFI ET,NYSE Arca,DUHP US Equity,Dimensional ETF Trust,Large-cap,United States,Equity,N.A.,3274.99,0.21,2.014,,,16.35,,0.31,,,
Yes,CAPITAL GROUP GROWTH,NYSE Arca,CGGR US Equity,Capital Research and Management Company/ETFs,Broad Market,United States,Equity,N.A.,3060.405,0.39,0.755,0.371,,28.159,,0.739,,1.21,
